D_Rate,L_Rate,FC_1,FC_2,FC_3,Sensitivity,Specificity,F1,Acc,
0.1,0.001,128,128,128,0.800464807436919,0.9566544566544567,0.8555713271823987,0.897300025233409,
0.1,0.001,128,128,256,0.8117529880478087,0.9521774521774522,0.859100491918482,0.8988140297754227,
0.1,0.001,128,128,512,0.8094289508632138,0.9586894586894587,0.8625508579515302,0.9019682059046177,
0.1,0.001,128,128,1024,0.796148738379814,0.9601139601139601,0.8555119514805565,0.8978046934140802,
0.1,0.001,128,256,128,0.8147410358565738,0.9356939356939357,0.8488412314078173,0.8897300025233409,
0.1,0.001,128,256,256,0.7689243027888446,0.9700854700854701,0.846027397260274,0.8936411809235427,
0.1,0.001,128,256,512,0.8047808764940239,0.9692714692714692,0.867728655808126,0.9067625536209942,
0.1,0.001,128,256,1024,0.8555776892430279,0.9118844118844119,0.8558618399202922,0.8904870047943477,
0.1,0.001,128,512,128,0.799136786188579,0.9601139601139601,0.8573463935886019,0.8989401968205905,
0.1,0.001,128,512,256,0.7921646746347941,0.9717134717134717,0.8618385407260248,0.9034822104466314,
0.1,0.001,128,512,512,0.7888446215139442,0.9627594627594628,0.852988691437803,0.8966691900075701,
